600,,,,,,,
2500,,,,,,,
4200,,,,,,,
9700,,,,,,,
,,,,,,,
,,,,,,,

Weapon:,Variable:,Comments:,,Per-Level Data:,,,
,,,1,2,3,4,5
WPN_WRENCH,,Given at game start,,,,,,
,NameTag,,ITEM_WEAPON_RATCHET_MELEE,,,,,
,UpgradeNameTag,,ITEM_WEAPON_RATCHET_MELEE_UPGRADE,,,,,
,MegaNameTag,,,,,,,
,DescTag,,ITEM_WEAPON_RATCHET_MELEE_DESC,,,,,
,UpgradeDescTag,,ITEM_WEAPON_RATCHET_MELEE_UPGRADE_DESC,,,,,
,MegaDescTag,,,,,,,
,HelpTag,,,,,,,
,Damage,Constant damage,3.2,,,,,
,AltDamage,throw damage,5,,,,,
,Knockback,,2,,,,,
,IdealRange,Grapple range,32,,,,,
,AOE,Radius of smash damage on ground,1,,,,,
,Misc,smash damage,10,,,,,
,AutoAim,,2.5,,,,,

WPN_CLANK_FU,,Given at game start,,,,,,
,NameTag,,ITEM_WEAPON_CLANK_MELEE,,,,,
,UpgradeNameTag,,ITEM_WEAPON_CLANK_MELEE_UPGRADE,,,,,
,MegaNameTag,,,,,,,
,DescTag,,ITEM_WEAPON_CLANK_MELEE_DESC,,,,,
,UpgradeDescTag,,ITEM_WEAPON_CLANK_MELEE_UPGRADE_DESC,,,,,
,MegaDescTag,,,,,,,
,HelpTag,,,,,,,
,Damage,Constant damage,3.2,,,,,
,AltDamage,throw damage,5,,,,,
,Knockback,,2,,,,,
,IdealRange,Grapple range,32,,,,,
,AOE,Radius of smash damage on ground,1,,,,,
,Misc,smash damage,10,,,,,
,AutoAim,,2.5,,,,,

WPN_MELEE_ALPHA_CLANK,,Given at game start,,,,,,
,NameTag,,ITEM_WEAPON_CLANK_MELEE,,,,,
,UpgradeNameTag,,ITEM_WEAPON_CLANK_MELEE_UPGRADE,,,,,
,MegaNameTag,,,,,,,
,DescTag,,ITEM_WEAPON_CLANK_MELEE_DESC,,,,,
,UpgradeDescTag,,ITEM_WEAPON_CLANK_MELEE_UPGRADE_DESC,,,,,
,MegaDescTag,,,,,,,
,HelpTag,,,,,,,
,Damage,Constant damage,3.2,,,,,
,AltDamage,throw damage,5,,,,,
,Knockback,,2,,,,,
,IdealRange,Grapple range,32,,,,,
,AOE,Radius of smash damage on ground,1,,,,,
,Misc,smash damage,10,,,,,
,AutoAim,,2.5,,,,,

WPN_WILD_STALLIONS,,Given at game start,,,,,,
,NameTag,,ITEM_WEAPON_QWARK_MELEE,,,,,
,UpgradeNameTag,,ITEM_WEAPON_QWARK_MELEE_UPGRADE,,,,,
,MegaNameTag,,,,,,,
,DescTag,,ITEM_WEAPON_QWARK_MELEE_DESC,,,,,
,UpgradeDescTag,,ITEM_WEAPON_QWARK_MELEE_UPGRADE_DESC,,,,,
,MegaDescTag,,,,,,,
,HelpTag,,,,,,,
,Damage,Constant damage,3.2,,,,,
,AltDamage,throw damage,5,,,,,
,Knockback,,2,,,,,
,IdealRange,Grapple range,32,,,,,
,AOE,Radius of smash damage on ground,1,,,,,
,Misc,smash damage,10,,,,,
,AutoAim,,2.5,,,,,

WPN_ROCKET_LAUNCHER,,,,,,,,
,NameTag,,ITEM_WEAPON_ROCKET_LAUNCHER,,,,,
,UpgradeNameTag,,ITEM_WEAPON_ROCKET_LAUNCHER_UPGRADE,,,,,
,MegaNameTag,,,,,,,
,DescTag,,ITEM_WEAPON_ROCKET_LAUNCHER_DESC,,,,,
,UpgradeDescTag,,ITEM_WEAPON_ROCKET_LAUNCHER_UPGRADE_DESC,,,,,
,MegaDescTag,,,,,,,
,AmmoNameTag,,,,,,,
,AmmoPluralNameTag,,,,,,,
,HelpTag,,,,,,,
,Damage,damage done by each rocket to enemies that they don't directly hit - but if multiple rockets hit the same target within a few frames damage is only counted once,10.0,14,18,22.0,25.0
,AltDamage,damage done by each rocket to enemies that they directly hit - but if multiple rockets hit the same target within a few frames damage is only counted once --- This damage does NOT stack with the regular Damage,20.0,24,28,30.0,35.0,
,Knockback,,3,3,3,4,4,
,AutoAim,,1,1,1,1,1,
,RateOfFire,,0.75,0.75,0.75,1,1,
,AOE,,6,6,10,10,10,
,MaxAmmo,,300,500,750,1000,15000,
,CrateAmmo,,300,500,750,1000,1500,
,MaxRange,,100,150,250,500,750,
,IdealRange,,50,75,125,250,375,
,RotationJoint,,3,3,3,3,3,
,XP,,0.0,4050.0,14178.0,25000.0,40000.0,
,SpawnChance,,3.0,3.0,3.0,3.0,3.0,
,,,,,,,,
,,,,,,,,
,,,,,,,,
WPN_COMBUSTER,,,,,,,,
,NameTag,,ITEM_WEAPON_COMBUSTER,,,,,
,UpgradeNameTag,,ITEM_WEAPON_COMBUSTER_UPGRADE,,,,,
,MegaNameTag,,,,,,,
,DescTag,,ITEM_WEAPON_COMBUSTER_DESC,,,,,
,UpgradeDescTag,,ITEM_WEAPON_COMBUSTER_UPGRADE_DESC,,,,,
,MegaDescTag,,,,,,,
,AmmoNameTag,,,,,,,
,AmmoPluralNameTag,,,,,,,
,HelpTag,,,,,,,
,Damage,Direct impact damage,1.5,1.75,1.75,2,3,3.5
,IdealRange,,20,20,20,20,20,25
,MaxRange,,100,150,200,300,500,101
,Knockback,Direct impact knockback,1,2,3,4,5,2
,AutoAim,,1,1,1,1,1,1
,RateOfFire,shots per second,4,7,10,15,20,25
,MaxAmmo,,100,150,250,350,500,1000
,CrateAmmo,,100,150,250,350,500,1000
,RotationJoint,,2,2,2,2,2,2
,XP,,0.0,594.0,3000.0,9000.0,15000.0,20000
,SpawnChance,,1.5,1.5,1.5,1.5,1.5,1.5
,,,,,,,
,,,,,,,
WPN_TIMEFIELD,,,,,,,
,NameTag,,ITEM_DEVICE_TIMEBOMB,,,,
,UpgradeNameTag,,,,,,
,MegaNameTag,,,,,,
,DescTag,,ITEM_DEVICE_TIMEBOMB_DESC,,,,
,UpgradeDescTag,,,,,,
,MegaDescTag,,,,,,
,AmmoNameTag,,,,,,
,AmmoPluralNameTag,,,,,,
,HelpTag,,,,,,
,MaxAmmo,,4,5,6,7,7
,CrateAmmo,,4,5,6,7,7
,RateOfFire,,2,2,2,2,2
,IdealRange,,20,20,20,20,20
,MaxRange,,75,75,75,75,75
,Duration,amount of time that the field lasts,6,9,12,15,15
,Misc,time field slow down percentage,0.2,0.2,0.1,0.1,0.1
,RotationJoint,,0,0,0,0,0
,XP,,0.0,600.0,2500.0,4200.0,9700.0
,SpawnChance,,1.0,1.0,1.0,1.0,1.0
,,,,,,,
,,,,,,,
WPN_DECOY,,,,,,,
,NameTag,,ITEM_DEVICE_DOPPELBANGER,,,,
,UpgradeNameTag,,ITEM_DEVICE_DOPPELBANGER_UPGRADE,,,,
,MegaNameTag,,,,,,
,DescTag,,ITEM_DEVICE_DOPPELBANGER_DESC,,,,
,UpgradeDescTag,,ITEM_DEVICE_DOPPELBANGER_UPGRADE_DESC,,,,
,MegaDescTag,,,,,,
,AmmoNameTag,,,,,,
,AmmoPluralNameTag,,,,,,
,HelpTag,,,,,,
,MaxAmmo,,10,20,30,40,100
,CrateAmmo,,10,20,30,40,100
,MaxRange,decoy's inner shape targeting range (outer is 1.5x),30,35,40,45,50
,IdealRange,Distance decoy is shot out,6,6,6,6,6
,AutoAim,Height decoy is shot out,0.2,0.2,0.2,0.2,0.2
,Damage,decoy projectile damage,1,1.8,2.7,3.5,4
,AOE,Upgraded version projectile explosion radius,0,0,6,10,14
,AltDamage,maximum damage a decoy can do,30,54,81,105,630
,Knockback,decoy projectile knockback,0,0,1,1,1
,RateOfFire,launcher rate of fire,5,5,5,5,5
,Misc,decoy's rate of fire,1,2.5,4,6.5,7
,Duration,decoy's health,15,25,30,45,50
,SpawnCount,percentage of damage taken from enemies (use whole integers - value is out of 100),50,50,50,50,50
,RotationJoint,,2,2,2,2,2
,XP,,0.0,540.0,3645.0,7290.0,15000.0
,SpawnChance,,0.5,0.5,0.5,0.5,0.5
,,,,,,,
,,,,,,,
,,,,,,,
WPN_ICE_BEAM,,,,,,,
,NameTag,,ITEM_WEAPON_FROSTRAY,,,,
,UpgradeNameTag,,ITEM_WEAPON_FROSTRAY_UPGRADE,,,,
,MegaNameTag,,,,,,
,DescTag,,ITEM_WEAPON_FROSTRAY_DESC,,,,
,UpgradeDescTag,,ITEM_WEAPON_FROSTRAY_UPGRADE_DESC,,,,
,MegaDescTag,,,,,,
,AmmoNameTag,,,,,,
,AmmoPluralNameTag,,,,,,
,HelpTag,,,,,,
